#--------------------------------------------------------------------
# Z = 95  A = 244 Am  nbeta= 129  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
       0.000       0.000      -0.000      11.041     153.782
       0.020       0.000       0.000      10.853     156.809
       0.040       0.000       0.103       9.879     181.232
       0.060       0.000       0.111       9.419     191.534
       0.080       0.000       0.118       8.915     226.874
       0.100       0.000       0.121       8.430     227.332
       0.120       0.000       0.121       8.027     192.096
       0.140       0.000       0.127       7.364     201.621
       0.160       0.000       0.121       6.641     219.831
       0.180       0.000       0.000       5.722     185.909
       0.200       0.000      -0.000       4.481     177.967
       0.220       0.000      -0.000       3.190     179.713
       0.240       0.000       0.000       2.005     186.870
       0.260       0.000       0.000       0.962     195.895
       0.280       0.000       0.000       0.238     213.541
       0.300       0.000      -0.000       0.000     225.314
       0.320       0.000      -0.000       0.321     228.256
       0.340       0.000       0.000       1.078     261.604
       0.360       0.000       0.000       1.900     704.604
       0.380       0.000      -0.000       2.825     237.893
       0.400       0.000      -0.000       3.686     156.643
       0.420       0.000      -0.000       4.705     170.519
       0.440       0.066       0.000       5.184     211.477
       0.480       0.072       0.000       6.037     253.793
       0.500       0.078       0.000       6.249     205.649
       0.520       0.073       0.000       6.053     220.894
       0.540       0.077       0.000       6.125     199.901
       0.560       0.074       0.000       5.960     199.203
       0.580       0.075       0.000       6.000     244.622
       0.600       0.074      -0.000       6.082     255.190
       0.620       0.072       0.000       6.187     247.398
       0.640       0.072       0.000       6.386     190.201
       0.660       0.067       0.000       6.603     202.475
       0.680       0.000       0.000       6.916     188.106
       0.700       0.000      -0.000       6.340     195.890
       0.720       0.000       0.000       5.710     205.263
       0.740       0.000       0.000       5.090     206.744
       0.760       0.000       0.000       4.550     192.077
       0.780       0.000       0.000       4.106     163.792
       0.800       0.000      -0.000       3.607     127.016
       0.820       0.000       0.000       3.124     131.094
       0.840       0.000      -0.000       2.799     135.984
       0.860       0.000      -0.000       2.667     151.544
       0.880       0.000      -0.000       2.606     233.999
       0.900       0.000      -0.000       2.419     252.652
       0.920       0.000       0.000       2.403     190.673
       0.940       0.000       0.000       2.320     107.936
       0.960       0.000       0.000       2.250      99.026
       0.980       0.000      -0.000       2.364      98.627
       1.000       0.000      -0.000       2.572     169.689
       1.020       0.000       0.000       2.632     216.270
       1.040       0.000       0.000       2.814     209.632
       1.060       0.000      -0.000       3.123     162.532
       1.080       0.000      -0.000       3.198     143.344
       1.100       0.000       0.000       3.300     396.988
       1.120       0.000       0.000       3.593     408.703
       1.140       0.000       0.220       3.741     397.060
       1.160       0.000       0.272       4.093     176.254
       1.180       0.000       0.284       4.370      72.300
       1.200       0.000       0.321       4.582      75.281
       1.220       0.000       0.359       4.851      78.374
       1.240       0.005       0.396       5.130      82.269
       1.260       0.022       0.400       5.594     124.763
       1.280       0.030       0.423       5.591     115.118
       1.300       0.031       0.446       5.525     112.833
       1.320       0.032       0.468       5.487     109.628
       1.340       0.032       0.489       5.459     104.941
       1.380       0.034       0.518       5.355      98.105
       1.400       0.034       0.531       5.313      95.535
       1.420       0.029       0.540       5.244      98.670
       1.440       0.030       0.551       5.132      98.282
       1.460       0.000       0.549       5.003      95.350
       1.480       0.000       0.557       4.579     104.020
       1.500       0.000       0.566       4.168     110.921
       1.520       0.000       0.575       3.764     114.831
       1.540       0.000       0.585       3.384     114.203
       1.560       0.000       0.599       3.050     111.843
       1.580       0.000       0.611       2.681     103.051
       1.600       0.000       0.625       2.318     100.055
       1.620       0.000       0.640       1.941      96.823
       1.640       0.000       0.657       1.599      94.071
       1.660       0.000       0.675       1.271      91.473
       1.680       0.000       0.693       0.973      88.806
       1.700       0.000       0.710       0.696      86.484
       1.720       0.000       0.727       0.448      84.193
       1.740       0.000       0.744       0.234      81.832
       1.760       0.000       0.761       0.040      80.086
       1.780       0.000       0.777      -0.123      78.875
       1.800       0.000       0.802      -0.264      68.917
       1.820       0.000       0.815      -0.423      67.711
       1.840       0.000       0.827      -0.512      66.953
       1.860       0.000       0.840      -0.601      66.200
       1.880       0.000       0.853      -0.659      66.037
       1.900       0.000       0.865      -0.692      66.447
       1.920       0.000       0.878      -0.713      67.184
       1.940       0.000       0.869      -0.722      71.613
       1.960       0.000       0.879      -0.798      71.463
       1.980       0.000       0.890      -0.869      70.194
       2.000       0.000       0.900      -0.945      68.175
       2.020       0.000       0.911      -0.992      65.764
       2.040       0.000       0.923      -1.026      63.512
       2.060       0.000       0.935      -1.051      61.839
       2.080       0.000       0.948      -1.070      60.344
       2.100       0.000       0.960      -1.083      58.965
       2.120       0.000       0.973      -1.093      57.694
       2.140       0.000       0.984      -1.106      56.561
       2.160       0.000       0.995      -1.124      55.501
       2.180       0.000       1.004      -1.152      54.386
       2.200       0.000       1.012      -1.193      53.437
       2.220       0.000       1.019      -1.251      52.968
       2.240       0.000       1.024      -1.330      53.617
       2.260       0.000       1.028      -1.431      56.330
       2.280       0.000       1.033      -1.541      60.474
       2.300       0.000       1.038      -1.656      63.439
       2.320       0.000       1.046      -1.775      65.575
       2.340       0.000       1.053      -1.902      68.093
       2.360       0.000       1.060      -2.036      70.064
       2.380       0.000       1.068      -2.173      71.664
       2.400       0.000       1.077      -2.311      72.643
       2.420       0.000       1.088      -2.445      72.719
       2.440       0.000       1.103      -2.552      71.480
       2.460       0.000       1.121      -2.687      70.488
       2.480       0.000       1.135      -2.850      70.164
       2.500       0.000       1.148      -3.015      69.514
       2.520       0.000       1.161      -3.183      68.875
       2.540       0.000       1.168      -3.353      67.074
       2.560       0.000       1.188      -3.521      62.668
       2.580       0.000       1.248      -3.749      66.093
       2.600       0.000       1.261      -3.999      67.952
