#--------------------------------------------------------------------
# Z = 96  A = 241 Cm  nbeta= 129  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000       0.080       9.968     168.869
       0.020       0.000       0.097       9.612     157.183
       0.040       0.000       0.110       9.093     147.596
       0.060       0.000       0.120       8.484     142.948
       0.080       0.000       0.128       7.881     156.232
       0.100       0.000       0.136       7.296     227.413
       0.120       0.000       0.143       6.638     280.451
       0.140       0.000       0.146       6.091     259.783
       0.160       0.000       0.151       5.509     213.872
       0.180       0.000       0.000       5.049     172.238
       0.200       0.000      -0.000       3.798     191.866
       0.220       0.000      -0.000       2.534     219.675
       0.240       0.000       0.000       1.411     264.502
       0.260       0.000      -0.000       0.572     306.235
       0.280       0.000       0.000       0.063     280.940
       0.300       0.000      -0.000       0.000     287.224
       0.320       0.000       0.000       0.309     313.280
       0.340       0.000       0.000       1.070     274.524
       0.360       0.000       0.000       2.159     275.182
       0.380       0.000      -0.000       3.270     390.309
       0.400       0.059       0.000       4.094     304.521
       0.420       0.060       0.000       4.696     238.332
       0.440       0.058       0.000       5.283     203.424
       0.460       0.066       0.000       5.490     201.925
       0.480       0.066       0.000       5.723     172.131
       0.500       0.067       0.000       5.852     167.842
       0.520       0.068       0.000       5.929     184.705
       0.540       0.069       0.000       5.932     196.894
       0.560       0.070       0.000       5.849     250.552
       0.580       0.070       0.000       6.050     169.750
       0.600       0.069       0.000       6.238     156.237
       0.620       0.068       0.000       6.495     155.328
       0.640       0.000       0.000       6.647     208.067
       0.660       0.000      -0.000       6.112     221.305
       0.680       0.000      -0.000       5.650     212.815
       0.700       0.000       0.000       5.262     197.071
       0.720       0.000      -0.000       4.867     200.993
       0.740       0.000      -0.000       4.485     209.487
       0.760       0.000      -0.000       4.097     180.756
       0.780       0.000      -0.000       3.481     138.354
       0.800       0.000      -0.000       2.827     127.638
       0.820       0.000       0.000       2.221     141.716
       0.840       0.000      -0.000       1.734     175.482
       0.860       0.000       0.000       1.434     182.181
       0.880       0.000      -0.000       1.215     163.093
       0.900       0.000      -0.000       1.114     182.407
       0.920       0.000      -0.000       0.924     386.259
       0.940       0.000      -0.000       0.775     495.920
       0.960       0.000       0.000       0.786     344.741
       0.980       0.000       0.000       0.999     168.067
       1.020       0.000       0.000       1.380      69.192
       1.040       0.000       0.000       1.724      87.801
       1.060       0.000      -0.000       2.135     114.192
       1.080       0.000       0.000       2.471     171.342
       1.100       0.000       0.000       2.801     201.690
       1.120       0.000       0.000       3.257     109.685
       1.140       0.000       0.000       3.547      70.547
       1.160       0.000       0.236       3.826      66.573
       1.180       0.000       0.255       3.974      96.636
       1.200       0.000       0.300       3.964     158.092
       1.220       0.000       0.336       4.085     169.554
       1.240       0.025       0.368       4.248     206.454
       1.260       0.026       0.392       4.346     126.905
       1.280       0.028       0.409       4.505      86.979
       1.300       0.028       0.434       4.592      79.888
       1.320       0.020       0.445       4.565      67.998
       1.360       0.021       0.479       4.462      74.211
       1.380       0.021       0.494       4.385      77.937
       1.400       0.000       0.507       4.260      93.657
       1.420       0.000       0.520       4.031      99.965
       1.440       0.000       0.534       3.797     102.993
       1.460       0.000       0.548       3.570     101.211
       1.480       0.000       0.565       3.361      97.721
       1.500       0.000       0.585       3.158      94.922
       1.520       0.000       0.607       2.939      90.844
       1.540       0.000       0.634       2.675      89.032
       1.560       0.000       0.655       2.372      92.400
       1.580       0.000       0.675       2.054      95.193
       1.600       0.000       0.693       1.761      96.388
       1.620       0.000       0.710       1.449      95.150
       1.640       0.000       0.727       1.159      92.540
       1.660       0.000       0.742       0.873      89.745
       1.680       0.000       0.756       0.591      86.569
       1.700       0.000       0.769       0.318      83.704
       1.720       0.000       0.781       0.064      81.326
       1.740       0.000       0.793      -0.169      79.028
       1.760       0.000       0.804      -0.396      76.689
       1.780       0.000       0.814      -0.601      74.046
       1.800       0.000       0.824      -0.789      71.262
       1.820       0.000       0.833      -0.961      68.424
       1.840       0.000       0.843      -1.089      64.649
       1.860       0.000       0.853      -1.238      63.092
       1.880       0.000       0.864      -1.373      61.131
       1.900       0.000       0.874      -1.492      59.078
       1.920       0.000       0.885      -1.611      57.432
       1.940       0.000       0.895      -1.701      55.988
       1.960       0.000       0.899      -1.789      54.164
       1.980       0.000       0.910      -1.893      54.466
       2.000       0.000       0.922      -2.025      55.761
       2.020       0.000       0.939      -2.182      59.100
       2.040       0.000       0.956      -2.350      65.687
