#--------------------------------------------------------------------
# Z = 92  A = 235 U  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
       0.000       0.000      -0.000       6.175     135.057
       0.020       0.000       0.000       6.239     141.609
       0.040       0.000      -0.000       6.373     149.298
       0.060       0.000       0.000       6.438     158.058
       0.080       0.000       0.000       6.415     163.092
       0.100       0.000       0.000       6.219     160.961
       0.120       0.000       0.111       5.274     202.461
       0.140       0.000       0.121       4.476     233.430
       0.160       0.000       0.127       3.705     232.727
       0.180       0.000       0.131       2.991     215.080
       0.200       0.000       0.122       2.169     230.482
       0.220       0.000       0.126       1.364     282.233
       0.240       0.000       0.126       0.762     348.616
       0.260       0.000      -0.000       0.248     328.095
       0.280       0.000      -0.000       0.000     457.890
       0.300       0.000      -0.000       0.134     655.273
       0.320       0.000       0.000       0.696     606.575
       0.340       0.000      -0.000       1.657     300.794
       0.360       0.055       0.000       2.776     236.302
       0.380       0.050       0.000       3.265     202.079
       0.400       0.053       0.000       3.892     196.603
       0.420       0.059       0.000       4.302     234.722
       0.440       0.065       0.000       4.409     244.555
       0.460       0.066       0.000       4.425     296.369
       0.480       0.067       0.000       4.558     248.909
       0.500       0.067       0.000       4.683     221.142
       0.520       0.066       0.000       4.796     181.194
       0.540       0.066       0.000       4.947     168.649
       0.560       0.064       0.000       5.188     175.844
       0.580       0.061       0.000       5.703     176.230
       0.600       0.060       0.000       5.693     191.823
       0.620       0.000       0.000       5.896     180.327
       0.640       0.000       0.000       5.530     189.630
       0.660       0.000      -0.000       5.100     204.026
       0.680       0.000      -0.000       4.727     206.682
       0.700       0.000      -0.000       4.424     193.417
       0.720       0.000      -0.000       4.190     164.678
       0.740       0.000      -0.000       3.959     198.060
       0.760       0.000      -0.000       3.721     192.552
       0.780       0.000       0.000       3.264     188.541
       0.800       0.000       0.000       2.527      99.296
       0.820       0.000      -0.000       1.886      72.551
       0.840       0.000      -0.000       1.482      69.418
       0.860       0.000      -0.000       1.343      69.882
       0.880       0.000      -0.000       1.066     174.801
       0.900       0.000       0.000       0.934     302.293
       0.920       0.000      -0.000       1.037     399.606
       0.940       0.000       0.000       1.321     313.108
       0.960       0.000       0.000       1.644     279.190
       0.980       0.000       0.000       1.997     283.469
       1.000       0.000      -0.000       2.361     183.315
       1.020       0.000      -0.000       2.759     110.793
       1.040       0.000       0.000       3.148      86.352
       1.060       0.000      -0.000       3.571      72.273
       1.080       0.000       0.000       4.019      69.616
       1.100       0.000       0.000       4.472      76.775
       1.120       0.000       0.000       4.893     136.094
       1.140       0.026       0.299       5.271     278.504
       1.160       0.028       0.335       5.410     337.418
       1.180       0.028       0.366       5.576     257.595
       1.200       0.028       0.356       5.747      69.998
       1.220       0.028       0.385       5.723      82.508
       1.240       0.028       0.412       5.730      96.764
       1.260       0.027       0.432       5.781     107.812
       1.280       0.020       0.450       5.899      98.070
       1.300       0.024       0.469       5.696     128.991
       1.320       0.000       0.474       5.704      76.564
       1.340       0.000       0.489       5.519      68.056
       1.360       0.000       0.504       5.383      62.793
       1.380       0.000       0.514       5.165      70.753
       1.400       0.000       0.526       4.858      78.198
       1.420       0.000       0.540       4.600      89.604
       1.440       0.000       0.555       4.385      99.209
       1.460       0.000       0.572       4.206     104.300
       1.480       0.000       0.591       4.048     104.664
       1.500       0.000       0.611       3.910     101.420
       1.520       0.000       0.630       3.757      97.120
       1.540       0.000       0.650       3.596      93.346
       1.560       0.000       0.668       3.440      91.016
       1.580       0.000       0.688       3.267      91.400
       1.600       0.000       0.704       3.109      92.380
       1.620       0.000       0.718       2.950      92.807
       1.640       0.000       0.732       2.816      92.331
       1.660       0.000       0.744       2.687      90.660
       1.680       0.000       0.757       2.571      88.109
       1.700       0.000       0.770       2.475      84.789
       1.720       0.000       0.782       2.397      81.208
       1.740       0.000       0.794       2.335      76.980
       1.760       0.000       0.806       2.275      72.682
       1.780       0.000       0.819       2.226      68.569
       1.800       0.000       0.832       2.185      64.884
       1.820       0.000       0.846       2.150      61.883
       1.840       0.000       0.861       2.146      59.963
       1.860       0.000       0.876       2.110      58.461
       1.880       0.000       0.892       2.070      57.942
       1.900       0.000       0.907       2.022      58.428
       1.920       0.000       0.923       1.954      60.043
       1.940       0.000       0.938       1.900      62.676
       1.960       0.000       0.952       1.829      66.403
       1.980       0.000       0.966       1.758      71.336
       2.000       0.000       0.979       1.683      76.427
       2.020       0.000       0.992       1.564      82.370
       2.040       0.000       1.005       1.450      85.766
