#--------------------------------------------------------------------
# Z = 94  A = 241 Pu  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000      -0.000       9.079     145.798
       0.020       0.000       0.000       9.104     141.929
       0.040       0.000       0.090       8.864     153.656
       0.060       0.000       0.100       8.507     158.086
       0.080       0.000       0.111       8.078     172.370
       0.100       0.000       0.122       7.549     218.928
       0.120       0.000       0.125       7.018     216.359
       0.140       0.000       0.130       6.440     187.608
       0.160       0.000       0.126       5.731     188.301
       0.180       0.000       0.109       4.865     201.364
       0.200       0.000       0.000       3.682     171.142
       0.220       0.000      -0.000       2.511     177.315
       0.240       0.000       0.000       1.448     186.576
       0.260       0.000      -0.000       0.582     222.761
       0.280       0.000       0.000       0.066     251.236
       0.300       0.000      -0.000       0.000     250.137
       0.320       0.000      -0.000       0.327     192.577
       0.340       0.000       0.000       0.946     217.857
       0.360       0.000       0.000       1.856     483.218
       0.380       0.000       0.000       2.779     471.112
       0.400       0.055       0.000       3.636     428.107
       0.420       0.050       0.000       4.458     171.035
       0.440       0.053       0.000       5.091     152.842
       0.460       0.070      -0.000       5.148     191.509
       0.480       0.068       0.000       5.528     181.542
       0.500       0.069       0.000       5.642     190.286
       0.520       0.072       0.000       5.437     223.903
       0.540       0.071       0.000       5.484     234.034
       0.560       0.071       0.000       5.663     192.046
       0.580       0.070       0.000       5.930     151.046
       0.600       0.071       0.000       6.004     178.469
       0.620       0.070       0.000       6.199     178.229
       0.640       0.067       0.000       6.428     171.867
       0.660       0.061       0.000       6.532     165.218
       0.680       0.000      -0.000       6.101     173.151
       0.700       0.000      -0.000       5.546     194.546
       0.720       0.000       0.000       5.055     213.861
       0.740       0.000       0.000       4.627     188.218
       0.760       0.000      -0.000       4.165     182.214
       0.780       0.000      -0.000       3.652     135.153
       0.800       0.000       0.000       3.140     131.892
       0.820       0.000      -0.000       2.737     133.062
       0.840       0.000       0.000       2.465     133.889
       0.860       0.000      -0.000       2.333     129.269
       0.880       0.000      -0.000       2.212     204.909
       0.900       0.000       0.000       1.962     274.453
       0.920       0.000       0.000       1.815     169.940
       0.940       0.000       0.000       1.611     114.212
       0.960       0.000       0.000       1.520      63.486
       0.980       0.000      -0.000       1.654      55.766
       1.000       0.000      -0.000       1.584     174.753
       1.020       0.000      -0.000       1.584     475.808
       1.040       0.000       0.000       1.798     480.253
       1.060       0.000      -0.000       2.204     525.492
       1.080       0.000       0.000       2.759     206.980
       1.100       0.000       0.000       3.364      65.627
       1.120       0.000       0.000       3.666      81.964
       1.140       0.000       0.000       4.137      98.692
       1.160       0.000       0.254       4.215     165.790
       1.180       0.000       0.297       4.483     173.710
       1.200       0.000       0.331       4.799     113.468
       1.220       0.022       0.351       4.938      72.641
       1.240       0.024       0.385       5.014      66.637
       1.260       0.025       0.417       5.141      70.283
       1.280       0.026       0.445       5.291      75.855
       1.300       0.031       0.456       5.358     103.223
       1.320       0.031       0.475       5.376     111.801
       1.340       0.031       0.495       5.399     106.399
       1.360       0.031       0.510       5.459      96.486
       1.380       0.030       0.522       5.495      85.879
       1.400       0.022       0.534       5.567      79.221
       1.420       0.000       0.530       5.420      81.527
       1.440       0.000       0.537       5.093      86.249
       1.460       0.000       0.546       4.752      89.968
       1.480       0.000       0.558       4.414      92.799
       1.500       0.000       0.570       4.097      94.562
       1.520       0.000       0.586       3.761      98.737
       1.540       0.000       0.601       3.430     100.650
       1.560       0.000       0.617       3.125     100.314
       1.580       0.000       0.634       2.825      97.820
       1.600       0.000       0.652       2.564      93.451
       1.620       0.000       0.677       2.246      85.756
       1.640       0.000       0.695       1.911      85.128
       1.660       0.000       0.712       1.568      86.047
       1.680       0.000       0.728       1.243      89.055
       1.700       0.000       0.743       0.935      93.546
       1.720       0.000       0.756       0.656      96.293
       1.740       0.000       0.769       0.415      96.505
       1.760       0.000       0.782       0.202      94.229
       1.780       0.000       0.794       0.026      89.052
       1.800       0.000       0.806      -0.115      82.810
       1.820       0.000       0.818      -0.220      76.507
       1.840       0.000       0.830      -0.266      71.146
       1.860       0.000       0.841      -0.314      66.682
       1.880       0.000       0.853      -0.339      63.591
       1.900       0.000       0.865      -0.346      62.032
       1.920       0.000       0.876      -0.363      61.172
       1.940       0.000       0.887      -0.351      61.406
       1.960       0.000       0.899      -0.337      61.280
       1.980       0.000       0.910      -0.313      60.834
       2.000       0.000       0.921      -0.295      59.704
       2.020       0.000       0.934      -0.286      58.459
       2.040       0.000       0.946      -0.281      57.053
       2.060       0.000       0.959      -0.284      56.495
       2.080       0.000       0.972      -0.284      56.709
       2.100       0.000       0.984      -0.272      55.954
       2.120       0.000       0.996      -0.254      53.994
       2.140       0.000       1.007      -0.236      51.556
       2.160       0.000       1.032      -0.295      51.027
       2.180       0.000       1.046      -0.361      51.293
       2.200       0.000       1.058      -0.431      52.072
       2.220       0.000       1.070      -0.506      53.161
       2.240       0.000       1.082      -0.585      54.266
       2.260       0.000       1.092      -0.666      55.169
       2.280       0.000       1.103      -0.749      55.831
       2.300       0.000       1.113      -0.833      56.276
       2.320       0.000       1.123      -0.918      56.510
       2.340       0.000       1.133      -1.005      56.562
       2.360       0.000       1.142      -1.092      56.544
       2.380       0.000       1.156      -1.218      55.053
       2.400       0.000       1.167      -1.313      56.285
       2.420       0.000       1.179      -1.409      56.988
       2.440       0.000       1.192      -1.511      58.294
       2.460       0.000       1.209      -1.624      61.025
       2.480       0.000       1.228      -1.759      65.052
       2.500       0.000       1.246      -1.918      69.282
       2.520       0.000       1.263      -2.096      73.103
       2.540       0.000       1.278      -2.288      76.216
       2.560       0.000       1.294      -2.488      78.789
       2.580       0.000       1.309      -2.693      80.825
       2.600       0.000       1.323      -2.900      82.415
