#--------------------------------------------------------------------
# Z = 93  A = 236 Np  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000       0.000       7.896     131.898
       0.020       0.000      -0.000       7.701     147.060
       0.040       0.000       0.062       7.283     177.883
       0.060       0.000       0.075       7.080     201.671
       0.080       0.000       0.086       6.828     200.140
       0.100       0.000       0.108       6.360     200.278
       0.120       0.000       0.121       5.688     242.871
       0.140       0.000       0.127       4.888     276.685
       0.160       0.000       0.136       4.107     263.654
       0.180       0.000       0.148       3.302     221.117
       0.200       0.000       0.138       2.587     240.983
       0.220       0.000       0.117       1.658     355.350
       0.240       0.000       0.000       1.122     275.112
       0.260       0.000      -0.000       0.435     389.768
       0.280       0.000       0.000       0.000     605.700
       0.300       0.000      -0.000       0.079     825.593
       0.320       0.000       0.000       0.689     761.729
       0.340       0.000      -0.000       1.702     348.792
       0.360       0.000       0.000       2.914     264.438
       0.380       0.000      -0.000       4.032     199.972
       0.400       0.000      -0.000       5.015     211.026
       0.420       0.000      -0.000       5.781     264.937
       0.440       0.000      -0.000       6.418     276.259
       0.460       0.000      -0.000       6.751     283.815
       0.480       0.000      -0.000       6.985     296.433
       0.500       0.000       0.000       7.129     165.519
       0.520       0.000      -0.000       7.166     168.024
       0.540       0.000      -0.000       7.117     166.133
       0.560       0.000       0.000       7.050     155.594
       0.580       0.000       0.000       6.860     162.603
       0.600       0.000       0.000       6.581     189.968
       0.620       0.000       0.000       6.256     198.906
       0.640       0.000       0.000       5.855     207.468
       0.660       0.000      -0.000       5.392     225.362
       0.680       0.000       0.000       5.032     230.260
       0.700       0.000       0.000       4.736     226.498
       0.720       0.000      -0.000       4.437     192.001
       0.740       0.000      -0.000       4.204     192.362
       0.760       0.000       0.000       4.008     218.402
       0.780       0.000       0.000       3.577     208.539
       0.800       0.000      -0.000       2.843     131.992
       0.820       0.000       0.000       2.181     117.357
       0.840       0.000       0.000       1.767     110.567
       0.860       0.000       0.000       1.624     100.427
       0.880       0.000      -0.000       1.349     214.481
       0.900       0.000       0.000       1.174     377.306
       0.920       0.000      -0.000       1.263     464.564
       0.940       0.000       0.000       1.562     343.077
       0.960       0.000       0.000       1.871     292.703
       0.980       0.000       0.000       2.205     288.903
       1.000       0.000      -0.000       2.571     188.357
       1.020       0.000      -0.000       2.926     121.875
       1.040       0.000       0.000       3.277     102.344
       1.060       0.000      -0.000       3.671      90.244
       1.080       0.000       0.000       4.090      87.054
       1.100       0.000       0.000       4.531      92.131
       1.120       0.000       0.000       4.925     143.118
       1.140       0.000       0.000       5.295     143.660
       1.160       0.000       0.348       5.684     205.930
       1.180       0.000       0.376       5.955     158.294
       1.200       0.000       0.366       6.187      70.702
       1.220       0.000       0.392       6.184      80.593
       1.240       0.000       0.410       6.096      97.241
       1.260       0.000       0.428       5.972     130.669
       1.280       0.000       0.447       5.876     123.799
       1.300       0.000       0.459       5.743      96.464
       1.320       0.000       0.473       5.570      87.411
