#--------------------------------------------------------------------
# Z = 90  A = 231 Th  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
       0.000       0.000       0.000       4.261     138.103
       0.020       0.000      -0.000       4.253     147.068
       0.040       0.000      -0.000       4.251     159.673
       0.060       0.000       0.000       4.220     168.214
       0.080       0.000      -0.000       4.091     163.630
       0.100       0.000       0.000       3.874     160.553
       0.120       0.000       0.084       3.389     161.437
       0.140       0.000       0.101       2.679     184.018
       0.160       0.000       0.118       1.879     255.044
       0.180       0.000       0.129       1.215     223.411
       0.200       0.000       0.140       0.602     222.053
       0.220       0.000       0.151       0.158     241.812
       0.240       0.000       0.160       0.000     269.895
       0.260       0.000       0.112       0.118     375.362
       0.280       0.000       0.000       0.237     407.831
       0.300       0.000      -0.000       0.807     316.536
       0.320       0.000      -0.000       1.654     220.358
       0.340       0.000       0.000       2.431     180.524
       0.360       0.000       0.000       3.241     172.413
       0.380       0.000      -0.000       4.022     163.474
       0.400       0.000      -0.000       4.539     153.357
       0.420       0.000      -0.000       4.888     155.005
       0.440       0.000      -0.000       5.183     151.141
       0.460       0.000       0.000       5.264     219.757
       0.480       0.000      -0.000       5.219     284.231
       0.500       0.000      -0.000       5.203     309.597
       0.520       0.000      -0.000       5.246     255.735
       0.540       0.000       0.000       5.212     133.718
       0.560       0.000       0.000       5.082     126.705
       0.580       0.000      -0.000       4.967     134.440
       0.600       0.000      -0.000       4.824     161.603
       0.620       0.000      -0.000       4.540     182.606
       0.640       0.000       0.000       4.252     194.974
       0.660       0.000       0.000       3.954     201.901
       0.680       0.000      -0.000       3.612     213.304
       0.700       0.000       0.000       3.339     210.968
       0.720       0.000       0.000       3.172     199.215
       0.740       0.000      -0.000       3.029     219.507
       0.760       0.000       0.000       2.925     158.757
       0.780       0.000       0.000       2.603     174.849
       0.800       0.000       0.000       2.194     252.256
       0.820       0.000       0.000       1.820     197.470
       0.840       0.000      -0.000       1.438     124.303
       0.860       0.000      -0.000       1.243      96.279
       0.880       0.000      -0.000       1.178      80.860
       0.900       0.000      -0.000       1.219      73.214
       0.920       0.000      -0.000       1.435      91.632
       0.940       0.000       0.000       1.791     119.588
       0.960       0.000       0.000       2.203     136.999
       0.980       0.000       0.000       2.623     164.353
       1.000       0.000      -0.000       3.040     179.177
       1.020       0.000      -0.000       3.523     133.516
       1.040       0.000       0.000       3.959     118.065
       1.060       0.000      -0.000       4.414     101.984
       1.080       0.000       0.000       4.853      78.244
       1.100       0.000       0.000       5.251      70.593
       1.120       0.000       0.314       5.867      62.569
       1.140       0.000       0.335       6.121      67.937
       1.160       0.000       0.337       6.287     130.888
       1.180       0.000       0.366       6.361     168.672
       1.200       0.000       0.391       6.419     185.425
       1.220       0.000       0.413       6.444     163.367
       1.240       0.000       0.416       6.350      78.912
       1.260       0.000       0.433       6.236      74.176
       1.280       0.000       0.447       5.964     111.111
       1.300       0.000       0.459       5.598     222.141
       1.320       0.000       0.472       5.269     328.659
       1.340       0.000       0.488       5.005     316.915
       1.360       0.000       0.503       4.830     312.083
       1.380       0.000       0.519       4.686     201.328
       1.400       0.000       0.536       4.584     118.561
       1.420       0.000       0.555       4.506      86.148
       1.440       0.000       0.574       4.436      74.575
       1.460       0.000       0.617       4.335      69.115
       1.480       0.000       0.633       4.076      72.586
       1.500       0.000       0.648       3.868      80.370
       1.520       0.000       0.662       3.688      89.404
       1.540       0.000       0.676       3.550      95.055
       1.560       0.000       0.690       3.457      96.406
       1.580       0.000       0.704       3.390      93.579
       1.600       0.000       0.717       3.372      88.757
       1.620       0.000       0.730       3.358      83.765
       1.640       0.000       0.742       3.375      79.566
       1.660       0.000       0.755       3.398      76.340
       1.680       0.000       0.767       3.430      74.174
       1.700       0.000       0.780       3.474      72.865
       1.720       0.000       0.792       3.526      72.136
       1.740       0.000       0.805       3.587      71.473
       1.760       0.000       0.817       3.644      70.365
       1.780       0.000       0.831       3.706      68.519
       1.800       0.000       0.844       3.773      65.772
       1.820       0.000       0.859       3.846      62.672
       1.840       0.000       0.877       3.890      62.236
       1.860       0.000       0.893       3.881      61.933
       1.880       0.000       0.910       3.853      63.190
       1.900       0.000       0.927       3.802      66.874
       1.920       0.000       0.945       3.716      75.239
       1.940       0.000       0.962       3.620      94.555
       1.960       0.000       0.979       3.489     132.449
       1.980       0.000       0.995       3.354     128.298
       2.000       0.000       1.007       3.234     118.475
       2.020       0.000       1.020       3.076     111.224
       2.040       0.000       1.033       2.926     106.307
       2.060       0.000       1.046       2.785     110.342
       2.080       0.000       1.059       2.654     114.454
       2.100       0.000       1.072       2.531     117.838
       2.120       0.000       1.085       2.415     120.322
       2.140       0.000       1.098       2.309     121.894
       2.160       0.000       1.111       2.211     122.520
       2.180       0.000       1.125       2.123     122.429
       2.200       0.000       1.138       2.044     121.697
       2.220       0.000       1.151       1.973     120.432
       2.240       0.000       1.165       1.912     118.635
       2.260       0.000       1.178       1.862     116.290
       2.280       0.000       1.192       1.821     113.321
       2.300       0.000       1.205       1.790     109.654
       2.320       0.000       1.219       1.769     105.305
       2.340       0.000       1.232       1.758     100.201
       2.360       0.000       1.246       1.758      94.702
       2.380       0.000       1.260       1.767      89.770
       2.400       0.000       1.273       1.787      91.449
       2.420       0.000       1.287       1.816      96.290
       2.440       0.000       1.301       1.856     101.746
       2.460       0.000       1.313       1.912     113.833
       2.480       0.000       1.325       1.973     109.023
       2.500       0.000       1.337       2.032      98.339
       2.520       0.000       1.349       2.090      89.314
       2.540       0.000       1.361       2.146      82.301
       2.560       0.000       1.374       2.200      76.442
       2.580       0.000       1.387       2.251      71.330
       2.600       0.000       1.401       2.298      66.562
